Score,Problem,Answer
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,3,23
1,1,614
-1,1,63
-1,2,132.9￿333
-1,4,3
1,2,37
1,4,171
1,1,6.81
1,4,50
1,1,4.50
-1,1,507
-1,2,13
1,4,342
1,2,5.54
-1,2,439
-1,4,7
1,1,408
-1,1,123
1,4,142
-1,4,6.27
1,3," 5.89"
1,4,0.083333
1,4,7.08
-1,4,
1,1,410
1,3," 301"
1,2,-1
1,3,671
1,2,0.2
1,2,416
1,3,733
1,4,-0.13
1,4,6.52
1,2,6.28
1,3,483
1,1,533
1,3,125
1,1,7.04
1,4," 66"
1,4,4.09
1,2,4.51
1,1,571
1,3,103
1,2,426
1,1,471
1,2,280
1,4,533
1,2,5.43
1,4,214
1,2,6.11
1,2,675
1,3,383
-1,3,
1,3,0.666
1,3,0.47
1,3,2.66
-1,4,6.7
-1,2,
-1,2,
1,4,-0.333
1,1,114
-1,1,
-1,1,123123123
1,4,783
1,3,-0.38
1,1,0.44
1,3,431
1,2,0.033
1,4,880
1,3,366
1,3,-1
1,2,-0.75
1,2,20
1,3,642
1,3,-0.5
-1,3,2.7
1,3,0.04
-1,3,0.1
1,2,-0.238
1,2,442
1,2," 514"
1,3,50
1,4," 0.777"
1,2,-0.222
-1,2,
1,1,4.978
1,3," 147"
1,3,271
1,4,0
-1,4," 7."
1,1," 685"
1,2," 69"
1,3," 300"
-1,3," -1.3"
1,3," 383"
1,3," 0.33"
1,4," 0.3888"
-1,3,
1,4,"7.3 "
1,4," 4.5"
-1,4," 9.8"
1,3," 187"
-1,2,
-1,4,
-1,4,
-1,3,
-1,4,2.25
-1,4,9.1
1,3,6.56
1,1,267
-1,1,
-1,3,
-1,1,
-1,2,
1,4,354
1,4,3.98
1,1,6.53
1,4,438
1,4,3.39
1,1,3.34
1,1,23
1,2,359
1,2,920
1,1,14
1,2,167
1,4,642
1,2,4.91
1,4,640
1,2,7.59
1,3,650
1,1," 116"
1,1,18
1,1,112
1,1,333
-1,4,
-1,4,
-1,4,f
1,4," 3.99"
-1,1,
1,3,0
1,1,0.5
